source_input,pair_name,Explanation,Example,Counterexample,Array/List(1/-1),Convergence,Tag/Adjacency(1/-1),Decoding Algorithm,Beam Width Level,Contrastive Penalty Level,metric,n,mean,sample_std,min,max,range_width,coefficient_of_variation
/workspace/results/hf-paper-batch-canonical/aggregated/algo2/mistralai__Ministral-3-8B-Instruct-2512/combined/evaluated.csv,sg3_sg1,1,-1,1,-1,-1,-1,contrastive,0,1,recall,5,0.0,0.0,0.0,0.0,0.0,
/workspace/results/hf-paper-batch-canonical/aggregated/algo2/mistralai__Ministral-3-8B-Instruct-2512/combined/evaluated.csv,sg3_sg1,1,-1,1,-1,1,-1,contrastive,0,1,recall,5,0.0,0.0,0.0,0.0,0.0,
/workspace/results/hf-paper-batch-canonical/aggregated/algo2/mistralai__Ministral-3-8B-Instruct-2512/combined/evaluated.csv,sg2_sg3,-1,-1,-1,1,-1,1,contrastive,0,1,precision,4,0.0,0.0,0.0,0.0,0.0,
/workspace/results/hf-paper-batch-canonical/aggregated/algo2/mistralai__Ministral-3-8B-Instruct-2512/combined/evaluated.csv,sg2_sg3,1,1,-1,-1,-1,-1,contrastive,0,1,precision,4,0.0,0.0,0.0,0.0,0.0,
/workspace/results/hf-paper-batch-canonical/aggregated/algo2/mistralai__Ministral-3-8B-Instruct-2512/combined/evaluated.csv,sg2_sg3,1,1,-1,-1,1,-1,contrastive,0,1,precision,4,0.0,0.0,0.0,0.0,0.0,
/workspace/results/hf-paper-batch-canonical/aggregated/algo2/mistralai__Ministral-3-8B-Instruct-2512/combined/evaluated.csv,sg3_sg1,-1,-1,-1,1,-1,1,contrastive,0,1,precision,5,0.0,0.0,0.0,0.0,0.0,
/workspace/results/hf-paper-batch-canonical/aggregated/algo2/mistralai__Ministral-3-8B-Instruct-2512/combined/evaluated.csv,sg3_sg1,-1,-1,-1,1,1,1,contrastive,0,1,precision,5,0.0,0.0,0.0,0.0,0.0,
/workspace/results/hf-paper-batch-canonical/aggregated/algo2/mistralai__Ministral-3-8B-Instruct-2512/combined/evaluated.csv,sg3_sg1,-1,-1,1,-1,-1,1,contrastive,0,1,precision,5,0.0,0.0,0.0,0.0,0.0,
/workspace/results/hf-paper-batch-canonical/aggregated/algo2/mistralai__Ministral-3-8B-Instruct-2512/combined/evaluated.csv,sg3_sg1,-1,-1,1,-1,1,1,contrastive,0,1,precision,5,0.0,0.0,0.0,0.0,0.0,
/workspace/results/hf-paper-batch-canonical/aggregated/algo2/mistralai__Ministral-3-8B-Instruct-2512/combined/evaluated.csv,sg3_sg1,1,-1,1,-1,-1,-1,contrastive,0,1,precision,5,0.0,0.0,0.0,0.0,0.0,
/workspace/results/hf-paper-batch-canonical/aggregated/algo2/mistralai__Ministral-3-8B-Instruct-2512/combined/evaluated.csv,sg3_sg1,1,-1,1,-1,1,-1,contrastive,0,1,precision,5,0.0,0.0,0.0,0.0,0.0,
