source_input,pair_name,Convergence,Explanation,Example,Counterexample,Array/List(1/-1),Tag/Adjacency(1/-1),metric,n,mean,sample_std,min,max,range_width,coefficient_of_variation
/workspace/results/hf-paper-batch-algo2-qwen-current/aggregated/algo2/Qwen__Qwen3.5-9B/greedy/evaluated.csv,sg1_sg2,-1,-1,1,1,1,-1,accuracy,5,0.7727272727272727,0.0,0.7727272727272727,0.7727272727272727,0.0,0.0
/workspace/results/hf-paper-batch-algo2-qwen-current/aggregated/algo2/Qwen__Qwen3.5-9B/greedy/evaluated.csv,sg1_sg2,-1,-1,1,1,1,1,accuracy,5,0.3636363636363636,0.0,0.3636363636363636,0.3636363636363636,0.0,0.0
/workspace/results/hf-paper-batch-algo2-qwen-current/aggregated/algo2/Qwen__Qwen3.5-9B/greedy/evaluated.csv,sg1_sg2,-1,1,-1,-1,-1,-1,accuracy,5,1.0,0.0,1.0,1.0,0.0,0.0
/workspace/results/hf-paper-batch-algo2-qwen-current/aggregated/algo2/Qwen__Qwen3.5-9B/greedy/evaluated.csv,sg1_sg2,-1,1,-1,-1,-1,1,accuracy,5,0.5909090909090909,0.0,0.5909090909090909,0.5909090909090909,0.0,0.0
/workspace/results/hf-paper-batch-algo2-qwen-current/aggregated/algo2/Qwen__Qwen3.5-9B/greedy/evaluated.csv,sg1_sg2,-1,1,-1,-1,1,-1,accuracy,5,0.3636363636363636,0.0,0.3636363636363636,0.3636363636363636,0.0,0.0
/workspace/results/hf-paper-batch-algo2-qwen-current/aggregated/algo2/Qwen__Qwen3.5-9B/greedy/evaluated.csv,sg1_sg2,-1,1,-1,-1,1,1,accuracy,5,0.7727272727272727,0.0,0.7727272727272727,0.7727272727272727,0.0,0.0
/workspace/results/hf-paper-batch-algo2-qwen-current/aggregated/algo2/Qwen__Qwen3.5-9B/greedy/evaluated.csv,sg1_sg2,-1,1,-1,1,-1,-1,accuracy,5,0.0,0.0,0.0,0.0,0.0,
/workspace/results/hf-paper-batch-algo2-qwen-current/aggregated/algo2/Qwen__Qwen3.5-9B/greedy/evaluated.csv,sg1_sg2,-1,1,-1,1,-1,1,accuracy,5,0.7727272727272727,0.0,0.7727272727272727,0.7727272727272727,0.0,0.0
/workspace/results/hf-paper-batch-algo2-qwen-current/aggregated/algo2/Qwen__Qwen3.5-9B/greedy/evaluated.csv,sg1_sg2,-1,1,-1,1,1,-1,accuracy,5,0.3636363636363636,0.0,0.3636363636363636,0.3636363636363636,0.0,0.0
/workspace/results/hf-paper-batch-algo2-qwen-current/aggregated/algo2/Qwen__Qwen3.5-9B/greedy/evaluated.csv,sg1_sg2,-1,1,-1,1,1,1,accuracy,5,0.7727272727272727,0.0,0.7727272727272727,0.7727272727272727,0.0,0.0
/workspace/results/hf-paper-batch-algo2-qwen-current/aggregated/algo2/Qwen__Qwen3.5-9B/greedy/evaluated.csv,sg1_sg2,-1,1,1,-1,-1,-1,accuracy,5,1.0,0.0,1.0,1.0,0.0,0.0
/workspace/results/hf-paper-batch-algo2-qwen-current/aggregated/algo2/Qwen__Qwen3.5-9B/greedy/evaluated.csv,sg1_sg2,-1,1,1,-1,-1,1,accuracy,5,0.7727272727272727,0.0,0.7727272727272727,0.7727272727272727,0.0,0.0
/workspace/results/hf-paper-batch-algo2-qwen-current/aggregated/algo2/Qwen__Qwen3.5-9B/greedy/evaluated.csv,sg1_sg2,-1,1,1,-1,1,-1,accuracy,5,0.0,0.0,0.0,0.0,0.0,
/workspace/results/hf-paper-batch-algo2-qwen-current/aggregated/algo2/Qwen__Qwen3.5-9B/greedy/evaluated.csv,sg1_sg2,-1,1,1,-1,1,1,accuracy,5,0.7727272727272727,0.0,0.7727272727272727,0.7727272727272727,0.0,0.0
/workspace/results/hf-paper-batch-algo2-qwen-current/aggregated/algo2/Qwen__Qwen3.5-9B/greedy/evaluated.csv,sg1_sg2,-1,1,1,1,-1,-1,accuracy,5,0.3636363636363636,0.0,0.3636363636363636,0.3636363636363636,0.0,0.0
/workspace/results/hf-paper-batch-algo2-qwen-current/aggregated/algo2/Qwen__Qwen3.5-9B/greedy/evaluated.csv,sg1_sg2,-1,1,1,1,-1,1,accuracy,5,0.0,0.0,0.0,0.0,0.0,
/workspace/results/hf-paper-batch-algo2-qwen-current/aggregated/algo2/Qwen__Qwen3.5-9B/greedy/evaluated.csv,sg1_sg2,-1,1,1,1,1,-1,accuracy,5,0.7727272727272727,0.0,0.7727272727272727,0.7727272727272727,0.0,0.0
/workspace/results/hf-paper-batch-algo2-qwen-current/aggregated/algo2/Qwen__Qwen3.5-9B/greedy/evaluated.csv,sg1_sg2,-1,1,1,1,1,1,accuracy,5,0.3636363636363636,0.0,0.3636363636363636,0.3636363636363636,0.0,0.0
/workspace/results/hf-paper-batch-algo2-qwen-current/aggregated/algo2/Qwen__Qwen3.5-9B/greedy/evaluated.csv,sg1_sg2,1,-1,-1,-1,-1,-1,accuracy,5,1.0,0.0,1.0,1.0,0.0,0.0
/workspace/results/hf-paper-batch-algo2-qwen-current/aggregated/algo2/Qwen__Qwen3.5-9B/greedy/evaluated.csv,sg1_sg2,1,-1,-1,-1,-1,1,accuracy,5,0.3636363636363636,0.0,0.3636363636363636,0.3636363636363636,0.0,0.0
/workspace/results/hf-paper-batch-algo2-qwen-current/aggregated/algo2/Qwen__Qwen3.5-9B/greedy/evaluated.csv,sg1_sg2,1,-1,-1,-1,1,-1,accuracy,5,1.0,0.0,1.0,1.0,0.0,0.0
/workspace/results/hf-paper-batch-algo2-qwen-current/aggregated/algo2/Qwen__Qwen3.5-9B/greedy/evaluated.csv,sg1_sg2,1,-1,-1,-1,1,1,accuracy,5,0.3636363636363636,0.0,0.3636363636363636,0.3636363636363636,0.0,0.0
/workspace/results/hf-paper-batch-algo2-qwen-current/aggregated/algo2/Qwen__Qwen3.5-9B/greedy/evaluated.csv,sg1_sg2,1,-1,-1,1,-1,-1,accuracy,5,0.3636363636363636,0.0,0.3636363636363636,0.3636363636363636,0.0,0.0
/workspace/results/hf-paper-batch-algo2-qwen-current/aggregated/algo2/Qwen__Qwen3.5-9B/greedy/evaluated.csv,sg1_sg2,1,-1,-1,1,-1,1,accuracy,5,0.0,0.0,0.0,0.0,0.0,
/workspace/results/hf-paper-batch-algo2-qwen-current/aggregated/algo2/Qwen__Qwen3.5-9B/greedy/evaluated.csv,sg1_sg2,1,-1,-1,1,1,-1,accuracy,5,1.0,0.0,1.0,1.0,0.0,0.0
/workspace/results/hf-paper-batch-algo2-qwen-current/aggregated/algo2/Qwen__Qwen3.5-9B/greedy/evaluated.csv,sg1_sg2,1,-1,-1,1,1,1,accuracy,5,1.0,0.0,1.0,1.0,0.0,0.0
/workspace/results/hf-paper-batch-algo2-qwen-current/aggregated/algo2/Qwen__Qwen3.5-9B/greedy/evaluated.csv,sg1_sg2,1,-1,1,-1,-1,-1,accuracy,5,0.3636363636363636,0.0,0.3636363636363636,0.3636363636363636,0.0,0.0
/workspace/results/hf-paper-batch-algo2-qwen-current/aggregated/algo2/Qwen__Qwen3.5-9B/greedy/evaluated.csv,sg1_sg2,1,-1,1,-1,-1,1,accuracy,5,0.0,0.0,0.0,0.0,0.0,
/workspace/results/hf-paper-batch-algo2-qwen-current/aggregated/algo2/Qwen__Qwen3.5-9B/greedy/evaluated.csv,sg1_sg2,1,-1,1,-1,1,-1,accuracy,5,0.0,0.0,0.0,0.0,0.0,
/workspace/results/hf-paper-batch-algo2-qwen-current/aggregated/algo2/Qwen__Qwen3.5-9B/greedy/evaluated.csv,sg1_sg2,1,-1,1,-1,1,1,accuracy,5,0.0,0.0,0.0,0.0,0.0,
/workspace/results/hf-paper-batch-algo2-qwen-current/aggregated/algo2/Qwen__Qwen3.5-9B/greedy/evaluated.csv,sg1_sg2,1,-1,1,1,-1,-1,accuracy,5,1.0,0.0,1.0,1.0,0.0,0.0
/workspace/results/hf-paper-batch-algo2-qwen-current/aggregated/algo2/Qwen__Qwen3.5-9B/greedy/evaluated.csv,sg1_sg2,1,-1,1,1,-1,1,accuracy,5,0.7727272727272727,0.0,0.7727272727272727,0.7727272727272727,0.0,0.0
/workspace/results/hf-paper-batch-algo2-qwen-current/aggregated/algo2/Qwen__Qwen3.5-9B/greedy/evaluated.csv,sg1_sg2,1,-1,1,1,1,-1,accuracy,5,0.7727272727272727,0.0,0.7727272727272727,0.7727272727272727,0.0,0.0
/workspace/results/hf-paper-batch-algo2-qwen-current/aggregated/algo2/Qwen__Qwen3.5-9B/greedy/evaluated.csv,sg1_sg2,1,-1,1,1,1,1,accuracy,5,0.3636363636363636,0.0,0.3636363636363636,0.3636363636363636,0.0,0.0
/workspace/results/hf-paper-batch-algo2-qwen-current/aggregated/algo2/Qwen__Qwen3.5-9B/greedy/evaluated.csv,sg1_sg2,1,1,-1,-1,-1,-1,accuracy,5,1.0,0.0,1.0,1.0,0.0,0.0
/workspace/results/hf-paper-batch-algo2-qwen-current/aggregated/algo2/Qwen__Qwen3.5-9B/greedy/evaluated.csv,sg1_sg2,1,1,-1,-1,-1,1,accuracy,5,0.5909090909090909,0.0,0.5909090909090909,0.5909090909090909,0.0,0.0
/workspace/results/hf-paper-batch-algo2-qwen-current/aggregated/algo2/Qwen__Qwen3.5-9B/greedy/evaluated.csv,sg1_sg2,1,1,-1,-1,1,-1,accuracy,5,0.3636363636363636,0.0,0.3636363636363636,0.3636363636363636,0.0,0.0
/workspace/results/hf-paper-batch-algo2-qwen-current/aggregated/algo2/Qwen__Qwen3.5-9B/greedy/evaluated.csv,sg1_sg2,1,1,-1,-1,1,1,accuracy,5,0.7727272727272727,0.0,0.7727272727272727,0.7727272727272727,0.0,0.0
/workspace/results/hf-paper-batch-algo2-qwen-current/aggregated/algo2/Qwen__Qwen3.5-9B/greedy/evaluated.csv,sg1_sg2,1,1,-1,1,-1,-1,accuracy,5,0.0,0.0,0.0,0.0,0.0,
/workspace/results/hf-paper-batch-algo2-qwen-current/aggregated/algo2/Qwen__Qwen3.5-9B/greedy/evaluated.csv,sg1_sg2,1,1,-1,1,-1,1,accuracy,5,0.7727272727272727,0.0,0.7727272727272727,0.7727272727272727,0.0,0.0
/workspace/results/hf-paper-batch-algo2-qwen-current/aggregated/algo2/Qwen__Qwen3.5-9B/greedy/evaluated.csv,sg1_sg2,1,1,-1,1,1,-1,accuracy,5,0.3636363636363636,0.0,0.3636363636363636,0.3636363636363636,0.0,0.0
/workspace/results/hf-paper-batch-algo2-qwen-current/aggregated/algo2/Qwen__Qwen3.5-9B/greedy/evaluated.csv,sg1_sg2,1,1,-1,1,1,1,accuracy,5,0.7727272727272727,0.0,0.7727272727272727,0.7727272727272727,0.0,0.0
/workspace/results/hf-paper-batch-algo2-qwen-current/aggregated/algo2/Qwen__Qwen3.5-9B/greedy/evaluated.csv,sg1_sg2,1,1,1,-1,-1,-1,accuracy,5,1.0,0.0,1.0,1.0,0.0,0.0
/workspace/results/hf-paper-batch-algo2-qwen-current/aggregated/algo2/Qwen__Qwen3.5-9B/greedy/evaluated.csv,sg1_sg2,1,1,1,-1,-1,1,accuracy,5,0.7727272727272727,0.0,0.7727272727272727,0.7727272727272727,0.0,0.0
/workspace/results/hf-paper-batch-algo2-qwen-current/aggregated/algo2/Qwen__Qwen3.5-9B/greedy/evaluated.csv,sg1_sg2,1,1,1,-1,1,-1,accuracy,5,0.0,0.0,0.0,0.0,0.0,
/workspace/results/hf-paper-batch-algo2-qwen-current/aggregated/algo2/Qwen__Qwen3.5-9B/greedy/evaluated.csv,sg1_sg2,1,1,1,-1,1,1,accuracy,5,0.7727272727272727,0.0,0.7727272727272727,0.7727272727272727,0.0,0.0
/workspace/results/hf-paper-batch-algo2-qwen-current/aggregated/algo2/Qwen__Qwen3.5-9B/greedy/evaluated.csv,sg1_sg2,1,1,1,1,-1,-1,accuracy,5,0.3636363636363636,0.0,0.3636363636363636,0.3636363636363636,0.0,0.0
/workspace/results/hf-paper-batch-algo2-qwen-current/aggregated/algo2/Qwen__Qwen3.5-9B/greedy/evaluated.csv,sg1_sg2,1,1,1,1,-1,1,accuracy,5,0.0,0.0,0.0,0.0,0.0,
/workspace/results/hf-paper-batch-algo2-qwen-current/aggregated/algo2/Qwen__Qwen3.5-9B/greedy/evaluated.csv,sg1_sg2,1,1,1,1,1,-1,accuracy,5,0.7727272727272727,0.0,0.7727272727272727,0.7727272727272727,0.0,0.0
/workspace/results/hf-paper-batch-algo2-qwen-current/aggregated/algo2/Qwen__Qwen3.5-9B/greedy/evaluated.csv,sg1_sg2,1,1,1,1,1,1,accuracy,5,0.3636363636363636,0.0,0.3636363636363636,0.3636363636363636,0.0,0.0
/workspace/results/hf-paper-batch-algo2-qwen-current/aggregated/algo2/Qwen__Qwen3.5-9B/greedy/evaluated.csv,sg2_sg3,-1,-1,-1,-1,-1,-1,accuracy,5,1.0,0.0,1.0,1.0,0.0,0.0
/workspace/results/hf-paper-batch-algo2-qwen-current/aggregated/algo2/Qwen__Qwen3.5-9B/greedy/evaluated.csv,sg2_sg3,-1,-1,-1,-1,-1,1,accuracy,5,0.0,0.0,0.0,0.0,0.0,
/workspace/results/hf-paper-batch-algo2-qwen-current/aggregated/algo2/Qwen__Qwen3.5-9B/greedy/evaluated.csv,sg2_sg3,-1,-1,-1,-1,1,-1,accuracy,5,1.0,0.0,1.0,1.0,0.0,0.0
/workspace/results/hf-paper-batch-algo2-qwen-current/aggregated/algo2/Qwen__Qwen3.5-9B/greedy/evaluated.csv,sg2_sg3,-1,-1,-1,-1,1,1,accuracy,5,1.0,0.0,1.0,1.0,0.0,0.0
/workspace/results/hf-paper-batch-algo2-qwen-current/aggregated/algo2/Qwen__Qwen3.5-9B/greedy/evaluated.csv,sg2_sg3,-1,-1,-1,1,-1,-1,accuracy,5,1.0,0.0,1.0,1.0,0.0,0.0
/workspace/results/hf-paper-batch-algo2-qwen-current/aggregated/algo2/Qwen__Qwen3.5-9B/greedy/evaluated.csv,sg2_sg3,-1,-1,-1,1,-1,1,accuracy,5,1.0,0.0,1.0,1.0,0.0,0.0
/workspace/results/hf-paper-batch-algo2-qwen-current/aggregated/algo2/Qwen__Qwen3.5-9B/greedy/evaluated.csv,sg2_sg3,-1,-1,-1,1,1,-1,accuracy,5,1.0,0.0,1.0,1.0,0.0,0.0
/workspace/results/hf-paper-batch-algo2-qwen-current/aggregated/algo2/Qwen__Qwen3.5-9B/greedy/evaluated.csv,sg2_sg3,-1,-1,-1,1,1,1,accuracy,5,1.0,0.0,1.0,1.0,0.0,0.0
/workspace/results/hf-paper-batch-algo2-qwen-current/aggregated/algo2/Qwen__Qwen3.5-9B/greedy/evaluated.csv,sg2_sg3,-1,-1,1,-1,-1,-1,accuracy,5,0.0,0.0,0.0,0.0,0.0,
/workspace/results/hf-paper-batch-algo2-qwen-current/aggregated/algo2/Qwen__Qwen3.5-9B/greedy/evaluated.csv,sg2_sg3,-1,-1,1,-1,-1,1,accuracy,5,1.0,0.0,1.0,1.0,0.0,0.0
/workspace/results/hf-paper-batch-algo2-qwen-current/aggregated/algo2/Qwen__Qwen3.5-9B/greedy/evaluated.csv,sg2_sg3,-1,-1,1,-1,1,-1,accuracy,5,1.0,0.0,1.0,1.0,0.0,0.0
/workspace/results/hf-paper-batch-algo2-qwen-current/aggregated/algo2/Qwen__Qwen3.5-9B/greedy/evaluated.csv,sg2_sg3,-1,-1,1,-1,1,1,accuracy,5,1.0,0.0,1.0,1.0,0.0,0.0
/workspace/results/hf-paper-batch-algo2-qwen-current/aggregated/algo2/Qwen__Qwen3.5-9B/greedy/evaluated.csv,sg2_sg3,-1,-1,1,1,-1,-1,accuracy,5,0.0,0.0,0.0,0.0,0.0,
/workspace/results/hf-paper-batch-algo2-qwen-current/aggregated/algo2/Qwen__Qwen3.5-9B/greedy/evaluated.csv,sg2_sg3,-1,-1,1,1,-1,1,accuracy,5,0.0,0.0,0.0,0.0,0.0,
/workspace/results/hf-paper-batch-algo2-qwen-current/aggregated/algo2/Qwen__Qwen3.5-9B/greedy/evaluated.csv,sg2_sg3,-1,-1,1,1,1,-1,accuracy,5,1.0,0.0,1.0,1.0,0.0,0.0
/workspace/results/hf-paper-batch-algo2-qwen-current/aggregated/algo2/Qwen__Qwen3.5-9B/greedy/evaluated.csv,sg2_sg3,-1,-1,1,1,1,1,accuracy,5,0.0,0.0,0.0,0.0,0.0,
/workspace/results/hf-paper-batch-algo2-qwen-current/aggregated/algo2/Qwen__Qwen3.5-9B/greedy/evaluated.csv,sg2_sg3,-1,1,-1,-1,-1,-1,accuracy,5,1.0,0.0,1.0,1.0,0.0,0.0
/workspace/results/hf-paper-batch-algo2-qwen-current/aggregated/algo2/Qwen__Qwen3.5-9B/greedy/evaluated.csv,sg2_sg3,-1,1,-1,-1,-1,1,accuracy,5,1.0,0.0,1.0,1.0,0.0,0.0
/workspace/results/hf-paper-batch-algo2-qwen-current/aggregated/algo2/Qwen__Qwen3.5-9B/greedy/evaluated.csv,sg2_sg3,-1,1,-1,-1,1,-1,accuracy,5,1.0,0.0,1.0,1.0,0.0,0.0
/workspace/results/hf-paper-batch-algo2-qwen-current/aggregated/algo2/Qwen__Qwen3.5-9B/greedy/evaluated.csv,sg2_sg3,-1,1,-1,-1,1,1,accuracy,5,1.0,0.0,1.0,1.0,0.0,0.0
/workspace/results/hf-paper-batch-algo2-qwen-current/aggregated/algo2/Qwen__Qwen3.5-9B/greedy/evaluated.csv,sg2_sg3,-1,1,-1,1,-1,-1,accuracy,5,1.0,0.0,1.0,1.0,0.0,0.0
/workspace/results/hf-paper-batch-algo2-qwen-current/aggregated/algo2/Qwen__Qwen3.5-9B/greedy/evaluated.csv,sg2_sg3,-1,1,-1,1,-1,1,accuracy,5,1.0,0.0,1.0,1.0,0.0,0.0
/workspace/results/hf-paper-batch-algo2-qwen-current/aggregated/algo2/Qwen__Qwen3.5-9B/greedy/evaluated.csv,sg2_sg3,-1,1,-1,1,1,-1,accuracy,5,1.0,0.0,1.0,1.0,0.0,0.0
/workspace/results/hf-paper-batch-algo2-qwen-current/aggregated/algo2/Qwen__Qwen3.5-9B/greedy/evaluated.csv,sg2_sg3,-1,1,-1,1,1,1,accuracy,5,1.0,0.0,1.0,1.0,0.0,0.0
/workspace/results/hf-paper-batch-algo2-qwen-current/aggregated/algo2/Qwen__Qwen3.5-9B/greedy/evaluated.csv,sg2_sg3,-1,1,1,-1,-1,-1,accuracy,5,1.0,0.0,1.0,1.0,0.0,0.0
/workspace/results/hf-paper-batch-algo2-qwen-current/aggregated/algo2/Qwen__Qwen3.5-9B/greedy/evaluated.csv,sg2_sg3,-1,1,1,-1,-1,1,accuracy,5,0.0,0.0,0.0,0.0,0.0,
/workspace/results/hf-paper-batch-algo2-qwen-current/aggregated/algo2/Qwen__Qwen3.5-9B/greedy/evaluated.csv,sg2_sg3,-1,1,1,-1,1,-1,accuracy,5,1.0,0.0,1.0,1.0,0.0,0.0
/workspace/results/hf-paper-batch-algo2-qwen-current/aggregated/algo2/Qwen__Qwen3.5-9B/greedy/evaluated.csv,sg2_sg3,-1,1,1,-1,1,1,accuracy,5,1.0,0.0,1.0,1.0,0.0,0.0
/workspace/results/hf-paper-batch-algo2-qwen-current/aggregated/algo2/Qwen__Qwen3.5-9B/greedy/evaluated.csv,sg2_sg3,-1,1,1,1,-1,-1,accuracy,5,0.0,0.0,0.0,0.0,0.0,
/workspace/results/hf-paper-batch-algo2-qwen-current/aggregated/algo2/Qwen__Qwen3.5-9B/greedy/evaluated.csv,sg2_sg3,-1,1,1,1,-1,1,accuracy,5,1.0,0.0,1.0,1.0,0.0,0.0
/workspace/results/hf-paper-batch-algo2-qwen-current/aggregated/algo2/Qwen__Qwen3.5-9B/greedy/evaluated.csv,sg2_sg3,-1,1,1,1,1,-1,accuracy,5,0.0,0.0,0.0,0.0,0.0,
/workspace/results/hf-paper-batch-algo2-qwen-current/aggregated/algo2/Qwen__Qwen3.5-9B/greedy/evaluated.csv,sg2_sg3,-1,1,1,1,1,1,accuracy,5,1.0,0.0,1.0,1.0,0.0,0.0
/workspace/results/hf-paper-batch-algo2-qwen-current/aggregated/algo2/Qwen__Qwen3.5-9B/greedy/evaluated.csv,sg2_sg3,1,-1,-1,-1,-1,-1,accuracy,5,1.0,0.0,1.0,1.0,0.0,0.0
/workspace/results/hf-paper-batch-algo2-qwen-current/aggregated/algo2/Qwen__Qwen3.5-9B/greedy/evaluated.csv,sg2_sg3,1,-1,-1,-1,-1,1,accuracy,5,0.0,0.0,0.0,0.0,0.0,
/workspace/results/hf-paper-batch-algo2-qwen-current/aggregated/algo2/Qwen__Qwen3.5-9B/greedy/evaluated.csv,sg2_sg3,1,-1,-1,-1,1,-1,accuracy,5,1.0,0.0,1.0,1.0,0.0,0.0
/workspace/results/hf-paper-batch-algo2-qwen-current/aggregated/algo2/Qwen__Qwen3.5-9B/greedy/evaluated.csv,sg2_sg3,1,-1,-1,-1,1,1,accuracy,5,1.0,0.0,1.0,1.0,0.0,0.0
/workspace/results/hf-paper-batch-algo2-qwen-current/aggregated/algo2/Qwen__Qwen3.5-9B/greedy/evaluated.csv,sg2_sg3,1,-1,-1,1,-1,-1,accuracy,5,1.0,0.0,1.0,1.0,0.0,0.0
/workspace/results/hf-paper-batch-algo2-qwen-current/aggregated/algo2/Qwen__Qwen3.5-9B/greedy/evaluated.csv,sg2_sg3,1,-1,-1,1,-1,1,accuracy,5,1.0,0.0,1.0,1.0,0.0,0.0
/workspace/results/hf-paper-batch-algo2-qwen-current/aggregated/algo2/Qwen__Qwen3.5-9B/greedy/evaluated.csv,sg2_sg3,1,-1,-1,1,1,-1,accuracy,5,1.0,0.0,1.0,1.0,0.0,0.0
/workspace/results/hf-paper-batch-algo2-qwen-current/aggregated/algo2/Qwen__Qwen3.5-9B/greedy/evaluated.csv,sg2_sg3,1,-1,-1,1,1,1,accuracy,5,1.0,0.0,1.0,1.0,0.0,0.0
/workspace/results/hf-paper-batch-algo2-qwen-current/aggregated/algo2/Qwen__Qwen3.5-9B/greedy/evaluated.csv,sg2_sg3,1,-1,1,-1,-1,-1,accuracy,5,0.0,0.0,0.0,0.0,0.0,
/workspace/results/hf-paper-batch-algo2-qwen-current/aggregated/algo2/Qwen__Qwen3.5-9B/greedy/evaluated.csv,sg2_sg3,1,-1,1,-1,-1,1,accuracy,5,1.0,0.0,1.0,1.0,0.0,0.0
/workspace/results/hf-paper-batch-algo2-qwen-current/aggregated/algo2/Qwen__Qwen3.5-9B/greedy/evaluated.csv,sg2_sg3,1,-1,1,-1,1,-1,accuracy,5,1.0,0.0,1.0,1.0,0.0,0.0
/workspace/results/hf-paper-batch-algo2-qwen-current/aggregated/algo2/Qwen__Qwen3.5-9B/greedy/evaluated.csv,sg2_sg3,1,-1,1,-1,1,1,accuracy,5,1.0,0.0,1.0,1.0,0.0,0.0
/workspace/results/hf-paper-batch-algo2-qwen-current/aggregated/algo2/Qwen__Qwen3.5-9B/greedy/evaluated.csv,sg2_sg3,1,-1,1,1,-1,-1,accuracy,5,0.0,0.0,0.0,0.0,0.0,
/workspace/results/hf-paper-batch-algo2-qwen-current/aggregated/algo2/Qwen__Qwen3.5-9B/greedy/evaluated.csv,sg2_sg3,1,-1,1,1,-1,1,accuracy,5,0.0,0.0,0.0,0.0,0.0,
/workspace/results/hf-paper-batch-algo2-qwen-current/aggregated/algo2/Qwen__Qwen3.5-9B/greedy/evaluated.csv,sg2_sg3,1,-1,1,1,1,-1,accuracy,5,1.0,0.0,1.0,1.0,0.0,0.0
/workspace/results/hf-paper-batch-algo2-qwen-current/aggregated/algo2/Qwen__Qwen3.5-9B/greedy/evaluated.csv,sg2_sg3,1,-1,1,1,1,1,accuracy,5,0.0,0.0,0.0,0.0,0.0,
/workspace/results/hf-paper-batch-algo2-qwen-current/aggregated/algo2/Qwen__Qwen3.5-9B/greedy/evaluated.csv,sg2_sg3,1,1,-1,-1,-1,-1,accuracy,5,1.0,0.0,1.0,1.0,0.0,0.0
/workspace/results/hf-paper-batch-algo2-qwen-current/aggregated/algo2/Qwen__Qwen3.5-9B/greedy/evaluated.csv,sg2_sg3,1,1,-1,-1,-1,1,accuracy,5,1.0,0.0,1.0,1.0,0.0,0.0
