algorithm,model,embedding_model,decoding_algorithm,condition_label,pair_name,condition_bits,replication,status,thinking_mode_supported,raw_row_path,candidate_edge_count,verified_edge_count,accuracy,precision,recall,f1,avg_duration_seconds,avg_tokens_per_second,max_duration_seconds,max_tokens_per_second,response_trace_count,total_completion_tokens,total_prompt_tokens
algo2,mistralai/Ministral-3-8B-Instruct-2512,Qwen/Qwen3-Embedding-0.6B,beam,beam_num_beams_2,sg1_sg2,000000,3,finished,False,/workspace/results/hf-paper-batch-algo2-mistral-current/runs/algo2/mistralai__Ministral-3-8B-Instruct-2512/beam_num_beams_2/sg1_sg2/000000/rep_03/raw_row.json,15,10,0.7727272727272727,1.0,0.7727272727272727,0.8717948717948718,2.9395462,29.9183716,8.097143,32.588041,5,452,4375
algo2,mistralai/Ministral-3-8B-Instruct-2512,Qwen/Qwen3-Embedding-0.6B,contrastive,contrastive_penalty_alpha_0.2,sg1_sg2,000000,3,finished,False,/workspace/results/hf-paper-batch-algo2-mistral-current/runs/algo2/mistralai__Ministral-3-8B-Instruct-2512/contrastive_penalty_alpha_0.2/sg1_sg2/000000/rep_03/raw_row.json,16,10,0.0,0.0,0.0,0.0,4.1072244,18.7117732,10.125852,25.281823,5,436,4353
algo2,mistralai/Ministral-3-8B-Instruct-2512,Qwen/Qwen3-Embedding-0.6B,greedy,greedy,sg1_sg2,000000,4,finished,False,/workspace/results/hf-paper-batch-algo2-mistral-current/runs/algo2/mistralai__Ministral-3-8B-Instruct-2512/greedy/sg1_sg2/000000/rep_04/raw_row.json,17,8,0.22727272727272727,1.0,0.22727272727272727,0.37037037037037035,2.244334333333333,32.73460716666667,7.327711,34.935878,6,456,5397
algo2,mistralai/Ministral-3-8B-Instruct-2512,Qwen/Qwen3-Embedding-0.6B,beam,beam_num_beams_2,sg1_sg2,000000,4,finished,False,/workspace/results/hf-paper-batch-algo2-mistral-current/runs/algo2/mistralai__Ministral-3-8B-Instruct-2512/beam_num_beams_2/sg1_sg2/000000/rep_04/raw_row.json,15,10,0.7727272727272727,1.0,0.7727272727272727,0.8717948717948718,2.9343614000000002,29.7566442,8.002646,31.989418,5,452,4375
algo2,mistralai/Ministral-3-8B-Instruct-2512,Qwen/Qwen3-Embedding-0.6B,contrastive,contrastive_penalty_alpha_0.2,sg1_sg2,000000,4,finished,False,/workspace/results/hf-paper-batch-algo2-mistral-current/runs/algo2/mistralai__Ministral-3-8B-Instruct-2512/contrastive_penalty_alpha_0.2/sg1_sg2/000000/rep_04/raw_row.json,16,10,0.0,0.0,0.0,0.0,4.180960000000001,18.330239,10.222187,25.043565,5,436,4353
algo2,mistralai/Ministral-3-8B-Instruct-2512,Qwen/Qwen3-Embedding-0.6B,greedy,greedy,sg1_sg2,000001,0,finished,False,/workspace/results/hf-paper-batch-algo2-mistral-current/runs/algo2/mistralai__Ministral-3-8B-Instruct-2512/greedy/sg1_sg2/000001/rep_00/raw_row.json,17,13,1.0,1.0,1.0,1.0,2.9536842500000002,31.82371625,7.648734,33.469589,4,385,3240
algo2,mistralai/Ministral-3-8B-Instruct-2512,Qwen/Qwen3-Embedding-0.6B,beam,beam_num_beams_2,sg1_sg2,000001,0,finished,False,/workspace/results/hf-paper-batch-algo2-mistral-current/runs/algo2/mistralai__Ministral-3-8B-Instruct-2512/beam_num_beams_2/sg1_sg2/000001/rep_00/raw_row.json,16,7,0.0,0.0,0.0,0.0,3.20923475,30.193425249999997,7.470838,34.832077,4,410,3298
algo2,mistralai/Ministral-3-8B-Instruct-2512,Qwen/Qwen3-Embedding-0.6B,contrastive,contrastive_penalty_alpha_0.2,sg1_sg2,000001,0,finished,False,/workspace/results/hf-paper-batch-algo2-mistral-current/runs/algo2/mistralai__Ministral-3-8B-Instruct-2512/contrastive_penalty_alpha_0.2/sg1_sg2/000001/rep_00/raw_row.json,16,10,0.0,0.0,0.0,0.0,4.2369942,17.843792,9.925094,25.793207,5,436,4353
algo2,mistralai/Ministral-3-8B-Instruct-2512,Qwen/Qwen3-Embedding-0.6B,greedy,greedy,sg1_sg2,000001,1,finished,False,/workspace/results/hf-paper-batch-algo2-mistral-current/runs/algo2/mistralai__Ministral-3-8B-Instruct-2512/greedy/sg1_sg2/000001/rep_01/raw_row.json,17,13,1.0,1.0,1.0,1.0,2.71877375,34.2957485,7.060721,36.256919,4,385,3240
algo2,mistralai/Ministral-3-8B-Instruct-2512,Qwen/Qwen3-Embedding-0.6B,beam,beam_num_beams_2,sg1_sg2,000001,1,finished,False,/workspace/results/hf-paper-batch-algo2-mistral-current/runs/algo2/mistralai__Ministral-3-8B-Instruct-2512/beam_num_beams_2/sg1_sg2/000001/rep_01/raw_row.json,16,7,0.0,0.0,0.0,0.0,3.1537315,31.62139625,7.690474,33.984306,4,410,3298
algo2,mistralai/Ministral-3-8B-Instruct-2512,Qwen/Qwen3-Embedding-0.6B,contrastive,contrastive_penalty_alpha_0.2,sg1_sg2,000001,1,finished,False,/workspace/results/hf-paper-batch-algo2-mistral-current/runs/algo2/mistralai__Ministral-3-8B-Instruct-2512/contrastive_penalty_alpha_0.2/sg1_sg2/000001/rep_01/raw_row.json,16,10,0.0,0.0,0.0,0.0,4.126558,18.5255068,9.996746,25.608333,5,436,4353
algo2,mistralai/Ministral-3-8B-Instruct-2512,Qwen/Qwen3-Embedding-0.6B,greedy,greedy,sg1_sg2,000001,2,finished,False,/workspace/results/hf-paper-batch-algo2-mistral-current/runs/algo2/mistralai__Ministral-3-8B-Instruct-2512/greedy/sg1_sg2/000001/rep_02/raw_row.json,17,13,1.0,1.0,1.0,1.0,2.73821725,33.812097,7.058102,36.270377,4,385,3240
algo2,mistralai/Ministral-3-8B-Instruct-2512,Qwen/Qwen3-Embedding-0.6B,beam,beam_num_beams_2,sg1_sg2,000001,2,finished,False,/workspace/results/hf-paper-batch-algo2-mistral-current/runs/algo2/mistralai__Ministral-3-8B-Instruct-2512/beam_num_beams_2/sg1_sg2/000001/rep_02/raw_row.json,16,7,0.0,0.0,0.0,0.0,3.15365225,31.584304500000002,7.684044,33.922032,4,410,3298
algo2,mistralai/Ministral-3-8B-Instruct-2512,Qwen/Qwen3-Embedding-0.6B,contrastive,contrastive_penalty_alpha_0.2,sg1_sg2,000001,2,finished,False,/workspace/results/hf-paper-batch-algo2-mistral-current/runs/algo2/mistralai__Ministral-3-8B-Instruct-2512/contrastive_penalty_alpha_0.2/sg1_sg2/000001/rep_02/raw_row.json,16,10,0.0,0.0,0.0,0.0,4.3682362,17.1563702,9.933949,25.770215,5,436,4353
algo2,mistralai/Ministral-3-8B-Instruct-2512,Qwen/Qwen3-Embedding-0.6B,greedy,greedy,sg1_sg2,000001,3,finished,False,/workspace/results/hf-paper-batch-algo2-mistral-current/runs/algo2/mistralai__Ministral-3-8B-Instruct-2512/greedy/sg1_sg2/000001/rep_03/raw_row.json,17,13,1.0,1.0,1.0,1.0,2.725031,34.2109175,7.091053,36.10183,4,385,3240
algo2,mistralai/Ministral-3-8B-Instruct-2512,Qwen/Qwen3-Embedding-0.6B,beam,beam_num_beams_2,sg1_sg2,000001,3,finished,False,/workspace/results/hf-paper-batch-algo2-mistral-current/runs/algo2/mistralai__Ministral-3-8B-Instruct-2512/beam_num_beams_2/sg1_sg2/000001/rep_03/raw_row.json,16,7,0.0,0.0,0.0,0.0,3.135935,31.939928,7.690449,34.824251,4,410,3298
algo2,mistralai/Ministral-3-8B-Instruct-2512,Qwen/Qwen3-Embedding-0.6B,contrastive,contrastive_penalty_alpha_0.2,sg1_sg2,000001,3,finished,False,/workspace/results/hf-paper-batch-algo2-mistral-current/runs/algo2/mistralai__Ministral-3-8B-Instruct-2512/contrastive_penalty_alpha_0.2/sg1_sg2/000001/rep_03/raw_row.json,16,10,0.0,0.0,0.0,0.0,4.0955122,18.754450600000002,10.078606,25.400338,5,436,4353
algo2,mistralai/Ministral-3-8B-Instruct-2512,Qwen/Qwen3-Embedding-0.6B,greedy,greedy,sg1_sg2,000001,4,finished,False,/workspace/results/hf-paper-batch-algo2-mistral-current/runs/algo2/mistralai__Ministral-3-8B-Instruct-2512/greedy/sg1_sg2/000001/rep_04/raw_row.json,17,13,1.0,1.0,1.0,1.0,2.7339629999999997,34.043361,7.033738,36.396013,4,385,3240
algo2,mistralai/Ministral-3-8B-Instruct-2512,Qwen/Qwen3-Embedding-0.6B,beam,beam_num_beams_2,sg1_sg2,000001,4,finished,False,/workspace/results/hf-paper-batch-algo2-mistral-current/runs/algo2/mistralai__Ministral-3-8B-Instruct-2512/beam_num_beams_2/sg1_sg2/000001/rep_04/raw_row.json,16,7,0.0,0.0,0.0,0.0,3.13103175,31.89440325,7.647812,33.775218,4,410,3298
algo2,mistralai/Ministral-3-8B-Instruct-2512,Qwen/Qwen3-Embedding-0.6B,contrastive,contrastive_penalty_alpha_0.2,sg1_sg2,000001,4,finished,False,/workspace/results/hf-paper-batch-algo2-mistral-current/runs/algo2/mistralai__Ministral-3-8B-Instruct-2512/contrastive_penalty_alpha_0.2/sg1_sg2/000001/rep_04/raw_row.json,16,10,0.0,0.0,0.0,0.0,4.0604382,18.907077800000003,9.948929,25.731413,5,436,4353
algo2,mistralai/Ministral-3-8B-Instruct-2512,Qwen/Qwen3-Embedding-0.6B,greedy,greedy,sg1_sg2,000010,0,finished,False,/workspace/results/hf-paper-batch-algo2-mistral-current/runs/algo2/mistralai__Ministral-3-8B-Instruct-2512/greedy/sg1_sg2/000010/rep_00/raw_row.json,17,14,1.0,1.0,1.0,1.0,2.5584444,33.2214542,7.079877,36.158819,5,443,6977
algo2,mistralai/Ministral-3-8B-Instruct-2512,Qwen/Qwen3-Embedding-0.6B,beam,beam_num_beams_2,sg1_sg2,000010,0,finished,False,/workspace/results/hf-paper-batch-algo2-mistral-current/runs/algo2/mistralai__Ministral-3-8B-Instruct-2512/beam_num_beams_2/sg1_sg2/000010/rep_00/raw_row.json,17,16,0.5909090909090909,1.0,0.5909090909090909,0.7428571428571429,2.6752472857142857,28.359821571428572,7.986878,34.199643,7,555,10661
algo2,mistralai/Ministral-3-8B-Instruct-2512,Qwen/Qwen3-Embedding-0.6B,contrastive,contrastive_penalty_alpha_0.2,sg1_sg2,000010,0,finished,False,/workspace/results/hf-paper-batch-algo2-mistral-current/runs/algo2/mistralai__Ministral-3-8B-Instruct-2512/contrastive_penalty_alpha_0.2/sg1_sg2/000010/rep_00/raw_row.json,16,14,1.0,1.0,1.0,1.0,5.1642378,15.9459904,11.835549,21.629753,5,458,7023
algo2,mistralai/Ministral-3-8B-Instruct-2512,Qwen/Qwen3-Embedding-0.6B,greedy,greedy,sg1_sg2,000010,1,finished,False,/workspace/results/hf-paper-batch-algo2-mistral-current/runs/algo2/mistralai__Ministral-3-8B-Instruct-2512/greedy/sg1_sg2/000010/rep_01/raw_row.json,17,14,1.0,1.0,1.0,1.0,3.207936,26.3497748,8.770661,29.188221,5,443,6977
algo2,mistralai/Ministral-3-8B-Instruct-2512,Qwen/Qwen3-Embedding-0.6B,beam,beam_num_beams_2,sg1_sg2,000010,1,finished,False,/workspace/results/hf-paper-batch-algo2-mistral-current/runs/algo2/mistralai__Ministral-3-8B-Instruct-2512/beam_num_beams_2/sg1_sg2/000010/rep_01/raw_row.json,17,16,0.5909090909090909,1.0,0.5909090909090909,0.7428571428571429,3.300263857142857,22.92762114285714,9.732617,28.634109,7,555,10661
algo2,mistralai/Ministral-3-8B-Instruct-2512,Qwen/Qwen3-Embedding-0.6B,contrastive,contrastive_penalty_alpha_0.2,sg1_sg2,000010,1,finished,False,/workspace/results/hf-paper-batch-algo2-mistral-current/runs/algo2/mistralai__Ministral-3-8B-Instruct-2512/contrastive_penalty_alpha_0.2/sg1_sg2/000010/rep_01/raw_row.json,16,14,1.0,1.0,1.0,1.0,4.7608238,17.1915594,10.967562,23.341559,5,458,7023
algo2,mistralai/Ministral-3-8B-Instruct-2512,Qwen/Qwen3-Embedding-0.6B,greedy,greedy,sg1_sg2,000010,2,finished,False,/workspace/results/hf-paper-batch-algo2-mistral-current/runs/algo2/mistralai__Ministral-3-8B-Instruct-2512/greedy/sg1_sg2/000010/rep_02/raw_row.json,17,14,1.0,1.0,1.0,1.0,3.4088882,26.1230134,9.736428,31.286819,5,443,6977
algo2,mistralai/Ministral-3-8B-Instruct-2512,Qwen/Qwen3-Embedding-0.6B,beam,beam_num_beams_2,sg1_sg2,000010,2,finished,False,/workspace/results/hf-paper-batch-algo2-mistral-current/runs/algo2/mistralai__Ministral-3-8B-Instruct-2512/beam_num_beams_2/sg1_sg2/000010/rep_02/raw_row.json,17,16,0.5909090909090909,1.0,0.5909090909090909,0.7428571428571429,3.308703857142857,23.475969428571428,10.249464,25.195801,7,555,10661
algo2,mistralai/Ministral-3-8B-Instruct-2512,Qwen/Qwen3-Embedding-0.6B,contrastive,contrastive_penalty_alpha_0.2,sg1_sg2,000010,2,finished,False,/workspace/results/hf-paper-batch-algo2-mistral-current/runs/algo2/mistralai__Ministral-3-8B-Instruct-2512/contrastive_penalty_alpha_0.2/sg1_sg2/000010/rep_02/raw_row.json,16,14,1.0,1.0,1.0,1.0,5.308706,15.684647799999999,12.745636,20.085307,5,458,7023
algo2,mistralai/Ministral-3-8B-Instruct-2512,Qwen/Qwen3-Embedding-0.6B,greedy,greedy,sg1_sg2,000010,3,finished,False,/workspace/results/hf-paper-batch-algo2-mistral-current/runs/algo2/mistralai__Ministral-3-8B-Instruct-2512/greedy/sg1_sg2/000010/rep_03/raw_row.json,17,14,1.0,1.0,1.0,1.0,3.3384410000000004,25.115776399999998,9.044739,28.303745,5,443,6977
algo2,mistralai/Ministral-3-8B-Instruct-2512,Qwen/Qwen3-Embedding-0.6B,beam,beam_num_beams_2,sg1_sg2,000010,3,finished,False,/workspace/results/hf-paper-batch-algo2-mistral-current/runs/algo2/mistralai__Ministral-3-8B-Instruct-2512/beam_num_beams_2/sg1_sg2/000010/rep_03/raw_row.json,17,16,0.5909090909090909,1.0,0.5909090909090909,0.7428571428571429,3.3445102857142857,23.228583571428572,10.4685,26.016285,7,555,10661
algo2,mistralai/Ministral-3-8B-Instruct-2512,Qwen/Qwen3-Embedding-0.6B,contrastive,contrastive_penalty_alpha_0.2,sg1_sg2,000010,3,finished,False,/workspace/results/hf-paper-batch-algo2-mistral-current/runs/algo2/mistralai__Ministral-3-8B-Instruct-2512/contrastive_penalty_alpha_0.2/sg1_sg2/000010/rep_03/raw_row.json,16,14,1.0,1.0,1.0,1.0,4.3929414,18.651464400000002,10.107637,25.327383,5,458,7023
algo2,mistralai/Ministral-3-8B-Instruct-2512,Qwen/Qwen3-Embedding-0.6B,greedy,greedy,sg1_sg2,000010,4,finished,False,/workspace/results/hf-paper-batch-algo2-mistral-current/runs/algo2/mistralai__Ministral-3-8B-Instruct-2512/greedy/sg1_sg2/000010/rep_04/raw_row.json,17,14,1.0,1.0,1.0,1.0,2.6407252,32.2701862,7.283334,35.148738,5,443,6977
algo2,mistralai/Ministral-3-8B-Instruct-2512,Qwen/Qwen3-Embedding-0.6B,beam,beam_num_beams_2,sg1_sg2,000010,4,finished,False,/workspace/results/hf-paper-batch-algo2-mistral-current/runs/algo2/mistralai__Ministral-3-8B-Instruct-2512/beam_num_beams_2/sg1_sg2/000010/rep_04/raw_row.json,17,16,0.5909090909090909,1.0,0.5909090909090909,0.7428571428571429,2.7149608571428567,27.860000285714285,8.066923,32.617087,7,555,10661
algo2,mistralai/Ministral-3-8B-Instruct-2512,Qwen/Qwen3-Embedding-0.6B,contrastive,contrastive_penalty_alpha_0.2,sg1_sg2,000010,4,finished,False,/workspace/results/hf-paper-batch-algo2-mistral-current/runs/algo2/mistralai__Ministral-3-8B-Instruct-2512/contrastive_penalty_alpha_0.2/sg1_sg2/000010/rep_04/raw_row.json,16,14,1.0,1.0,1.0,1.0,4.3965255999999995,18.999393599999998,10.678122,23.974254,5,458,7023
algo2,mistralai/Ministral-3-8B-Instruct-2512,Qwen/Qwen3-Embedding-0.6B,greedy,greedy,sg1_sg2,000011,0,finished,False,/workspace/results/hf-paper-batch-algo2-mistral-current/runs/algo2/mistralai__Ministral-3-8B-Instruct-2512/greedy/sg1_sg2/000011/rep_00/raw_row.json,17,14,1.0,1.0,1.0,1.0,2.7422068,31.4006408,7.708547,33.209892,5,443,6977
algo2,mistralai/Ministral-3-8B-Instruct-2512,Qwen/Qwen3-Embedding-0.6B,beam,beam_num_beams_2,sg1_sg2,000011,0,finished,False,/workspace/results/hf-paper-batch-algo2-mistral-current/runs/algo2/mistralai__Ministral-3-8B-Instruct-2512/beam_num_beams_2/sg1_sg2/000011/rep_00/raw_row.json,16,12,1.0,1.0,1.0,1.0,3.2909725,29.5393895,7.940486,34.050287,4,406,5270
algo2,mistralai/Ministral-3-8B-Instruct-2512,Qwen/Qwen3-Embedding-0.6B,contrastive,contrastive_penalty_alpha_0.2,sg1_sg2,000011,0,finished,False,/workspace/results/hf-paper-batch-algo2-mistral-current/runs/algo2/mistralai__Ministral-3-8B-Instruct-2512/contrastive_penalty_alpha_0.2/sg1_sg2/000011/rep_00/raw_row.json,16,14,1.0,1.0,1.0,1.0,4.3203898,19.1653096,10.279893,24.902983,5,458,7023
algo2,mistralai/Ministral-3-8B-Instruct-2512,Qwen/Qwen3-Embedding-0.6B,greedy,greedy,sg1_sg2,000011,1,finished,False,/workspace/results/hf-paper-batch-algo2-mistral-current/runs/algo2/mistralai__Ministral-3-8B-Instruct-2512/greedy/sg1_sg2/000011/rep_01/raw_row.json,17,14,1.0,1.0,1.0,1.0,2.5535509999999997,32.9927408,6.981827,36.92553,5,443,6977
algo2,mistralai/Ministral-3-8B-Instruct-2512,Qwen/Qwen3-Embedding-0.6B,beam,beam_num_beams_2,sg1_sg2,000011,1,finished,False,/workspace/results/hf-paper-batch-algo2-mistral-current/runs/algo2/mistralai__Ministral-3-8B-Instruct-2512/beam_num_beams_2/sg1_sg2/000011/rep_01/raw_row.json,16,12,1.0,1.0,1.0,1.0,3.2350355,30.014447,7.784549,34.978653,4,406,5270
algo2,mistralai/Ministral-3-8B-Instruct-2512,Qwen/Qwen3-Embedding-0.6B,contrastive,contrastive_penalty_alpha_0.2,sg1_sg2,000011,1,finished,False,/workspace/results/hf-paper-batch-algo2-mistral-current/runs/algo2/mistralai__Ministral-3-8B-Instruct-2512/contrastive_penalty_alpha_0.2/sg1_sg2/000011/rep_01/raw_row.json,16,14,1.0,1.0,1.0,1.0,4.302102,19.166294999999998,10.130154,25.271086,5,458,7023
algo2,mistralai/Ministral-3-8B-Instruct-2512,Qwen/Qwen3-Embedding-0.6B,greedy,greedy,sg1_sg2,000011,2,finished,False,/workspace/results/hf-paper-batch-algo2-mistral-current/runs/algo2/mistralai__Ministral-3-8B-Instruct-2512/greedy/sg1_sg2/000011/rep_02/raw_row.json,17,14,1.0,1.0,1.0,1.0,2.6562558,31.744838199999997,7.153135,35.788502,5,443,6977
algo2,mistralai/Ministral-3-8B-Instruct-2512,Qwen/Qwen3-Embedding-0.6B,beam,beam_num_beams_2,sg1_sg2,000011,2,finished,False,/workspace/results/hf-paper-batch-algo2-mistral-current/runs/algo2/mistralai__Ministral-3-8B-Instruct-2512/beam_num_beams_2/sg1_sg2/000011/rep_02/raw_row.json,16,12,1.0,1.0,1.0,1.0,3.26696475,29.84052075,7.915991,34.064118,4,406,5270
algo2,mistralai/Ministral-3-8B-Instruct-2512,Qwen/Qwen3-Embedding-0.6B,contrastive,contrastive_penalty_alpha_0.2,sg1_sg2,000011,2,finished,False,/workspace/results/hf-paper-batch-algo2-mistral-current/runs/algo2/mistralai__Ministral-3-8B-Instruct-2512/contrastive_penalty_alpha_0.2/sg1_sg2/000011/rep_02/raw_row.json,16,14,1.0,1.0,1.0,1.0,4.2517682,19.1270658,9.613833,26.628298,5,458,7023
algo2,mistralai/Ministral-3-8B-Instruct-2512,Qwen/Qwen3-Embedding-0.6B,greedy,greedy,sg1_sg2,000011,3,finished,False,/workspace/results/hf-paper-batch-algo2-mistral-current/runs/algo2/mistralai__Ministral-3-8B-Instruct-2512/greedy/sg1_sg2/000011/rep_03/raw_row.json,17,14,1.0,1.0,1.0,1.0,2.7559152,32.0685772,8.002418,34.865966,5,443,6977
algo2,mistralai/Ministral-3-8B-Instruct-2512,Qwen/Qwen3-Embedding-0.6B,beam,beam_num_beams_2,sg1_sg2,000011,3,finished,False,/workspace/results/hf-paper-batch-algo2-mistral-current/runs/algo2/mistralai__Ministral-3-8B-Instruct-2512/beam_num_beams_2/sg1_sg2/000011/rep_03/raw_row.json,16,12,1.0,1.0,1.0,1.0,3.3005932500000004,29.45460625,7.964661,33.905225,4,406,5270
algo2,mistralai/Ministral-3-8B-Instruct-2512,Qwen/Qwen3-Embedding-0.6B,contrastive,contrastive_penalty_alpha_0.2,sg1_sg2,000011,3,finished,False,/workspace/results/hf-paper-batch-algo2-mistral-current/runs/algo2/mistralai__Ministral-3-8B-Instruct-2512/contrastive_penalty_alpha_0.2/sg1_sg2/000011/rep_03/raw_row.json,16,14,1.0,1.0,1.0,1.0,4.3059864,19.3545152,10.410206,24.591253,5,458,7023
algo2,mistralai/Ministral-3-8B-Instruct-2512,Qwen/Qwen3-Embedding-0.6B,greedy,greedy,sg1_sg2,000011,4,finished,False,/workspace/results/hf-paper-batch-algo2-mistral-current/runs/algo2/mistralai__Ministral-3-8B-Instruct-2512/greedy/sg1_sg2/000011/rep_04/raw_row.json,17,14,1.0,1.0,1.0,1.0,2.6699943999999998,32.3032716,7.525295,34.018601,5,443,6977
algo2,mistralai/Ministral-3-8B-Instruct-2512,Qwen/Qwen3-Embedding-0.6B,beam,beam_num_beams_2,sg1_sg2,000011,4,finished,False,/workspace/results/hf-paper-batch-algo2-mistral-current/runs/algo2/mistralai__Ministral-3-8B-Instruct-2512/beam_num_beams_2/sg1_sg2/000011/rep_04/raw_row.json,16,12,1.0,1.0,1.0,1.0,3.28389925,29.7834695,7.991112,33.815831,4,406,5270
algo2,mistralai/Ministral-3-8B-Instruct-2512,Qwen/Qwen3-Embedding-0.6B,contrastive,contrastive_penalty_alpha_0.2,sg1_sg2,000011,4,finished,False,/workspace/results/hf-paper-batch-algo2-mistral-current/runs/algo2/mistralai__Ministral-3-8B-Instruct-2512/contrastive_penalty_alpha_0.2/sg1_sg2/000011/rep_04/raw_row.json,16,14,1.0,1.0,1.0,1.0,4.2615824,19.3986306,10.103648,25.337384,5,458,7023
algo2,mistralai/Ministral-3-8B-Instruct-2512,Qwen/Qwen3-Embedding-0.6B,greedy,greedy,sg1_sg2,000100,0,finished,False,/workspace/results/hf-paper-batch-algo2-mistral-current/runs/algo2/mistralai__Ministral-3-8B-Instruct-2512/greedy/sg1_sg2/000100/rep_00/raw_row.json,17,12,0.7727272727272727,1.0,0.7727272727272727,0.8717948717948718,2.3739006,34.187003,7.128026,35.914572,5,417,4127
