algorithm,model,source_input,factor,metric,minus1_mean,plus1_mean,winner,delta_plus1_minus1
algo2,gemini-2.0-flash-exp,data/results/algo2/gemini-2.0-flash-exp/evaluated/metrics_sg2_sg3.csv,Explanation,recall,0.03760593220338977,0.04555084745762707,plus1,0.007944915254237295
algo2,gemini-2.0-flash-exp,data/results/algo2/gemini-2.0-flash-exp/evaluated/metrics_sg2_sg3.csv,Explanation,precision,0.4336061507936508,0.4581540991902834,plus1,0.024547948396632602
algo2,gemini-2.0-flash-exp,data/results/algo2/gemini-2.0-flash-exp/evaluated/metrics_sg3_sg1.csv,Explanation,accuracy,0.8240618393234673,0.8531976744186046,plus1,0.029135835095137286
algo2,gemini-2.0-flash-exp,data/results/algo2/gemini-2.0-flash-exp/evaluated/metrics_sg3_sg1.csv,Explanation,recall,0.005408653846153837,0.00240384615384615,minus1,-0.0030048076923076873
algo2,gemini-2.0-flash-exp,data/results/algo2/gemini-2.0-flash-exp/evaluated/metrics_sg3_sg1.csv,Explanation,precision,0.08623511904761905,0.01708447802197802,minus1,-0.06915064102564103
algo2,gemini-2.5-pro,data/results/algo2/gemini-2.5-pro/evaluated/metrics_sg1_sg2.csv,Explanation,accuracy,0.9352678571428571,0.934659090909091,minus1,-0.0006087662337660449
algo2,gemini-2.5-pro,data/results/algo2/gemini-2.5-pro/evaluated/metrics_sg1_sg2.csv,Explanation,recall,0.20394736842105257,0.2121710526315789,plus1,0.008223684210526327
algo2,gemini-2.5-pro,data/results/algo2/gemini-2.5-pro/evaluated/metrics_sg1_sg2.csv,Explanation,precision,0.46167306957748133,0.4521063036228477,minus1,-0.009566765954633627
algo2,gemini-2.5-pro,data/results/algo2/gemini-2.5-pro/evaluated/metrics_sg2_sg3.csv,Explanation,accuracy,0.8990344684385383,0.8960236710963455,minus1,-0.0030107973421927836
algo2,gemini-2.5-pro,data/results/algo2/gemini-2.5-pro/evaluated/metrics_sg2_sg3.csv,Explanation,recall,0.030720338983050776,0.03336864406779654,plus1,0.002648305084745766
algo2,gemini-2.5-pro,data/results/algo2/gemini-2.5-pro/evaluated/metrics_sg2_sg3.csv,Explanation,precision,0.34117796266233763,0.2750711528055278,minus1,-0.06610680985680983
algo2,gemini-2.5-pro,data/results/algo2/gemini-2.5-pro/evaluated/metrics_sg3_sg1.csv,Explanation,accuracy,0.9437103594080337,0.9434130549682875,minus1,-0.00029730443974618215
algo2,gemini-2.5-pro,data/results/algo2/gemini-2.5-pro/evaluated/metrics_sg3_sg1.csv,Explanation,recall,0.05288461538461533,0.05348557692307687,plus1,0.0006009615384615433
algo2,gemini-2.5-pro,data/results/algo2/gemini-2.5-pro/evaluated/metrics_sg3_sg1.csv,Explanation,precision,0.4325820013320013,0.394626554001554,minus1,-0.03795544733044731
algo2,gpt-5,data/results/algo2/gpt-5/evaluated/metrics_sg1_sg2.csv,Explanation,accuracy,0.9245535714285713,0.9170048701298702,minus1,-0.00754870129870111
algo2,gpt-5,data/results/algo2/gpt-5/evaluated/metrics_sg1_sg2.csv,Explanation,recall,0.34046052631578944,0.3536184210526315,plus1,0.01315789473684209
algo2,gpt-5,data/results/algo2/gpt-5/evaluated/metrics_sg1_sg2.csv,Explanation,precision,0.4157423431843643,0.3799862395708611,minus1,-0.03575610361350323
algo2,gpt-5,data/results/algo2/gpt-5/evaluated/metrics_sg2_sg3.csv,Explanation,accuracy,0.8966465946843855,0.8973733388704319,plus1,0.0007267441860464574
algo2,gpt-5,data/results/algo2/gpt-5/evaluated/metrics_sg2_sg3.csv,Explanation,recall,0.040254237288135535,0.04766949152542368,plus1,0.007415254237288144
algo2,gpt-5,data/results/algo2/gpt-5/evaluated/metrics_sg2_sg3.csv,Explanation,precision,0.3219742063492063,0.3410089864448417,plus1,0.019034780095635362
algo2,gpt-5,data/results/algo2/gpt-5/evaluated/metrics_sg3_sg1.csv,Explanation,accuracy,0.9375660676532769,0.936674154334038,minus1,-0.0008919133192388795
algo2,gpt-5,data/results/algo2/gpt-5/evaluated/metrics_sg3_sg1.csv,Explanation,recall,0.09735576923076919,0.10516826923076916,plus1,0.007812499999999972
algo2,gpt-5,data/results/algo2/gpt-5/evaluated/metrics_sg3_sg1.csv,Explanation,precision,0.33136623405349525,0.34336448520408874,plus1,0.011998251150593497
algo2,openai-gpt-4o,data/results/algo2/openai-gpt-4o/evaluated/metrics_sg1_sg2.csv,Explanation,accuracy,0.8850446428571429,0.9418628246753247,plus1,0.05681818181818177
algo2,openai-gpt-4o,data/results/algo2/openai-gpt-4o/evaluated/metrics_sg1_sg2.csv,Explanation,recall,0.13322368421052627,0.11677631578947363,minus1,-0.01644736842105264
algo2,openai-gpt-4o,data/results/algo2/openai-gpt-4o/evaluated/metrics_sg1_sg2.csv,Explanation,precision,0.70625,0.6921875,minus1,-0.014062500000000089
algo2,openai-gpt-4o,data/results/algo2/openai-gpt-4o/evaluated/metrics_sg2_sg3.csv,Explanation,accuracy,0.5348837209302325,0.5060735049833888,minus1,-0.028810215946843742
algo2,openai-gpt-4o,data/results/algo2/openai-gpt-4o/evaluated/metrics_sg2_sg3.csv,Explanation,recall,0.007415254237288121,0.004766949152542357,minus1,-0.0026483050847457643
algo2,openai-gpt-4o,data/results/algo2/openai-gpt-4o/evaluated/metrics_sg2_sg3.csv,Explanation,precision,0.1328125,0.08229166666666667,minus1,-0.050520833333333334
algo2,openai-gpt-4o,data/results/algo2/openai-gpt-4o/evaluated/metrics_sg3_sg1.csv,Explanation,accuracy,0.438127642706131,0.44238900634249473,plus1,0.004261363636363702
algo2,openai-gpt-4o,data/results/algo2/openai-gpt-4o/evaluated/metrics_sg3_sg1.csv,Explanation,recall,0.017427884615384602,0.006009615384615375,minus1,-0.011418269230769227
algo2,openai-gpt-4o,data/results/algo2/openai-gpt-4o/evaluated/metrics_sg3_sg1.csv,Explanation,precision,0.09691220238095237,0.11049107142857142,plus1,0.013578869047619055
